Functional Module,Primary Symptom,Secondary Symptom,Solution,Related Error Code,Query Page,Applicable Models,If not solved,Level,父记录
Battery & Charging,Data Center,Cannot Charge but Data Backend Shows No Abnormality,"1. Check whether the charging station / adapter indicators are normal before and after docking.
2. Check whether the side indicator on the rear of the device is on / slowly flashing after docking.
3. Check whether the device is properly docked. Clean the contact strips on the device / charging station and re-dock for testing.
4. If the issue is resolved, this indicates that a thorough cleaning of the contact strips is required.",Adapter fault / probe contact not lit / contact strip corrosion / charging station fault,,,To Be Discussed,L4 - FAE,
Battery & Charging,Data Center,Cannot Charge but Data Center Shows BMSNONE,1. This may be a battery fault / drive board abnormality.,,,,To Be Discussed,L4 - FAE,
Battery & Charging,Auto-Recharge Issue,Does Not Recharge Within Mowing Zone,"1. Check for obstacles around the area. Clear any obstacles to ensure the path is wide enough (LUBA 3: minimum path width is 70cm).
2. If there are no obstacles or clearing them does not help, check whether the LiDAR / vision module is dirty. Clean it and keep it regularly cleaned.
3. If there is no dirt or cleaning does not help, check whether there is a virtual wall / no-go zone blocking the path in the app map.
4. If there is no virtual wall or re-trying does not help, check whether a connecting path is missing between the target zone and other zones. If so, create the path.","1201 Stuck
1203 Return-to-dock failed
1214 Path blocked by obstacle","1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
Battery & Charging,Battery Issue,Battery Level Jumps,1. Collect the time of the incident and a screenshot of the battery-level jump.,,,,Needs FAE Upgrade,,
Battery & Charging,Docking Issue,Charging Station Adapter Indicator Light Abnormal,"1. Confirm whether the device is docked and whether the adapter indicator is normal.
2. Check whether the adapter voltage is normal.
3. Confirm whether the device can power on normally.",,,,Needs Repair,,
Battery & Charging,Docking Issue,Charging Station Indicator Light Off / Abnormal,"1. Confirm whether the device is docked and whether the adapter indicator is normal.
2. Check whether the adapter voltage is normal.
3. Confirm whether the device can power on normally.",,,,Needs Repair,,
Battery & Charging,Docking Issue,Powers Off While on Charging Station,"1. Check the on-site environment and whether the charging contacts are clean, free of corrosion, and not worn. If dirty, clean them.
2. Manually place the device on the charging station and confirm that the charging station is on firm, level ground. Check whether the issue is resolved when the device is on firm, level ground.",,,,Needs Repair,,
Battery & Charging,Docking Issue,Powers Off While Leaving Station During Charging,1. Check whether the charging station is installed level.,,,,Needs FAE Upgrade,,
Battery & Charging,Battery Issue,Cannot Power On,"1. Measure the voltage of the charging station contact strips when the mower is on the dock / not on the dock, and check whether the charging station adapter voltage is normal (approximately 27V). If it is abnormal, consider replacing the charging station or the adapter.
2. If measurement is not possible, both the charging station and the adapter need to be sent in for repair.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
WiFi & Bluetooth & 4G,Bluetooth Issue,App Cannot Find Device Bluetooth,"1. Check whether the firmware is the latest version; if not, it needs to be updated.
2. Reconnect the vision module (LUBA 2, LUBA 2X, LUBA mini, LUBA mini 2 1000).",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
WiFi & Bluetooth & 4G,Bluetooth Issue,Can Find but Cannot Connect / Continuously Loading,"1. Check whether the firmware is the latest version; if not, it needs to be updated.
2. Reconnect the camera (LUBA 2, LUBA 2X, LUBA mini, LUBA mini 2 1000).",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
WiFi & Bluetooth & 4G,Bluetooth Issue,Bluetooth Signal Weak / Lag / Frequent Disconnection,"1. Check whether the firmware is the latest version; if not, it needs to be updated.
2. Reconnect the vision module (LUBA 2, LUBA 2X, LUBA mini, LUBA mini 2 1000).",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
WiFi & Bluetooth & 4G,Wi-Fi Issue,App Cannot Find Wi-Fi,"1. Reconnect the vision module (LUBA 2, LUBA 2X, LUBA mini, LUBA mini 2 1000).
2. Wait 2-3 minutes after powering on before configuring the network.
3. Try connecting to the phone's hotspot. If the connection succeeds, the Wi-Fi is incompatible.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
WiFi & Bluetooth & 4G,Wi-Fi Issue,Can Find but Cannot Connect,"1. Reconnect the vision module (LUBA 2, LUBA 2X, LUBA mini, LUBA mini 2 1000).
2. Wait 2-3 minutes after powering on before configuring the network.
3. Try connecting to the phone's hotspot. If the connection succeeds, the Wi-Fi is incompatible.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
WiFi & Bluetooth & 4G,Wi-Fi Issue,Wi-Fi Signal Weak / Exclamation Mark / Frequent Disconnection,"1. Try connecting to the phone's hotspot. If the connection succeeds, the Wi-Fi is incompatible.",,"1. Check Basic Info to confirm the Wi-Fi signal strength.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
WiFi & Bluetooth & 4G,Wi-Fi Issue,Connection Error / Binding Failed,"1. Try connecting to the phone's hotspot. If the connection succeeds, the Wi-Fi is incompatible.",,"1. Check Basic Info to confirm the Wi-Fi signal strength.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
WiFi & Bluetooth & 4G,4G/SIM Issue,4G Icon Gray / Cannot Get IP,"1. Check whether the 4G function has been enabled in the app.
2. Restart the device and wait 2-3 minutes.",,"1. Check Basic Info to confirm the Wi-Fi signal strength.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Check Sim Info to confirm the 4G SIM activation status.",,Needs FAE Upgrade,,
WiFi & Bluetooth & 4G,4G/SIM Issue,Red Exclamation / Cannot Register / Status Not Displayed,"1. Reconnect the 4G module (YUKA mini, YUKA mini 2).
2. Restart the device and wait 2-3 minutes.",,"1. Check Basic Info to confirm the Wi-Fi signal strength.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Check Sim Info to confirm the 4G SIM activation status.",,Needs FAE Upgrade,,
WiFi & Bluetooth & 4G,4G/SIM Issue,4G Unusable / Plan Inactive / Data Exhausted,"1. Check the data plan, data usage, and SIM activation/renewal status.
2. Restart the device and wait 2-3 minutes.",,"1. Check Basic Info to confirm the Wi-Fi signal strength.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Check Sim Info to confirm the 4G SIM activation status.",,Needs FAE Upgrade,,
WiFi & Bluetooth & 4G,4G/SIM Issue,4G Signal Weak / Remote Connection Unstable,"1. Check the data plan, data usage, and SIM activation/renewal status.
2. Restart the device and wait 2-3 minutes; confirm that the area where the device is located has stable cellular network coverage.",,"1. Check Basic Info to confirm the Wi-Fi signal strength.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Check Sim Info to confirm the 4G SIM activation status.",,Needs FAE Upgrade,,
WiFi & Bluetooth & 4G,4G/SIM Issue,SIM Card Not Recognized / Incompatible / Module Not Installed,"1. Reconnect the 4G module (YUKA mini, YUKA mini 2).
2. Restart the device and wait 2-3 minutes.",,"1. Check Basic Info to confirm the Wi-Fi signal strength.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Check Sim Info to confirm the 4G SIM activation status.",,Needs FAE Upgrade,,
WiFi & Bluetooth & 4G,Device Offline,User Network Causes Offline,"1. Check whether the firmware is the latest version; if not, it needs to be updated.
2. Confirm whether the robot is powered on when offline.
3. Check the current Wi-Fi signal and network status.",,"1. Check Basic Info to confirm the network signal strength.
2. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
3. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs FAE Upgrade,,
WiFi & Bluetooth & 4G,Device Offline,IoT / Platform or Other Reasons Cause Offline,/,,,,To Be Discussed,L4 - FAE,
Hardware,Drive Board Linkage Issue,Upgrade Failed / Wheels Not Powered / Powers Off After Exit / Battery Not Displayed or 0% / Battery Info Update Failed,"1. Check for the following conditions: the wheels are not powered and have no resistance / the device powers off after leaving the dock / the battery level is not displayed or shows 0 / battery information update failed.
2. Check for error code 1505. If present, the device needs to be sent in for repair.",1015 Battery information update failed,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Hub Motor,Hub Motor / Hall Sensor Error,"1. Confirm whether the device is actually stuck or trapped on an obstacle. If it is not stuck, or the obstacle has been cleared but the error persists, the issue may be a wheel hub motor Hall sensor error / sensor abnormality.
2. Confirm the actual error code and check whether restarting resolves the issue.","136/146 Left/right rear wheel hub motor sensor fault
134/144 Left/right rear wheel hub motor stopped
133/143 Left/right rear wheel hub motor overcurrent
135/145 Left/right rear wheel Hall sensor error","1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Hub Motor,Wheel Noise,1. Verify the situation and confirm the abnormal wheel noise.,,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Hub Motor,Hub Motor Abnormal,"1. Clean any foreign objects tangled on the wheel axle, then power off and restart the device several times.
2. Manually drive the mower in the app, and check whether the device can move forward, reverse, and turn left / right normally. If it works normally, then the issue only occurs during automatic operation, not during manual control.","542/574/144/134 Wheel hub motor stall
543/549/575/581/113/389/383/357/351 Wheel hub motor overload
558/590/398/366/141/131/121/111 Wheel hub motor temperature too high
142/132/122/112 Wheel hub motor temperature too low
561/592/593/400/401/369 Wheel hub motor MOS temperature too low
546/547/578/579/387/386/355/354/145/135/125/115 Wheel hub motor Hall sensor abnormal
551/552/583/584/392/391/360/359 Wheel hub motor voltage abnormal
559/591/399/367 Wheel hub motor
560/368 Wheel hub motor MOS temperature abnormal / too high
2821/2826 Wheel hub motor controller communication timeout","1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Hub Motor,Hub Motor Overcurrent,"1. Determine whether there is grass tangled in the wheel hub. If so, clean the chassis.
2. Try powering off the device and reconnecting the safety key (up to three times).",363/395 Left/right wheel hub overcurrent,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Cutter Motor,Cutter Motor Overload Error,"1. Check whether the cutter disk has foreign objects stuck in it or is severely entangled with grass. If so, clean it.
2. If not, but the error persists, the device needs to be sent in for repair.","312/322 Left/right cutter motor overload
313/323 Left/right cutter motor overload
314/324 Left/right cutter motor stuck
315/325 Left/right cutter motor startup failed
316/326 Left/right cutter motor overheat
317/327 Left/right cutter motor temperature too low
318/328 Left/right cutter motor sensor abnormality
424/456 Left/right cutter motor voltage too low","1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Cutter Motor,Cutter Motor Abnormal,"1. Clean the cutter disk and any grass clippings tangled on the cutter motor shaft.
2. After restarting the device, in manual mode, long-press the forward direction to drive the mower (starting the cutter motor) and check whether the cutter motor can rotate normally.
3. Observe whether error 1202 (cutter motor stuck) is reported during operation.
4. Confirm that the cutter disk adapter bracket nut is tightened.","468/436/326/316 Cutter motor temperature too high / abnormal
467/435 Cutter motor startup timeout
325/315 Cutter motor startup failed
461/429/323/322/313/312 Cutter motor overload
426/458 Cutter motor overcurrent
469/437 Cutter motor MOS temperature abnormal
456/424 Cutter motor voltage too low
317/327 Cutter motor temperature too low
2822 Cutter motor controller communication timeout","1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Cutter Motor,Cutter Disc Stuck,"1. Check whether the cutter disk is clogged or stuck. Clean any weeds / foreign objects / branches under the cutter disk.
2. After cleaning, place the device on a level surface and restart it for testing.
3. If the issue persists after cleaning, manually rotate the cutter disk to check whether it rotates smoothly.",1202 Cutter disk stuck,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Cutter Motor,Cutter Motor Abnormal Noise,"1. Check whether the cutter disk is stuck with foreign objects / weeds, and clean it.
2. Remove the cutter disk and start the machine to check whether the cutter motor makes abnormal noise.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Cutter Motor,Cutter Disc Fuse Blown,1. Check whether any blade has fallen off / check whether the protective cover is loose / check whether any screws are missing.,,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Cutter Motor,Cutter Disc Edge Grinding,"1. Confirm the on-site grass conditions and whether the map boundary is on the same plane as the lawn. Provide photos of the chassis (cutter disk, blades) to verify whether the cutter disk is scraping against the boundary (riding on the boundary).
2. If it is riding on the boundary, raise the cutter disk height and modify the map boundary to prevent the cutter disk from scraping. Then re-test.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Cutter Motor,Cutter Disc Baffle Uneven,"1. Provide the condition of the cutter disk guard and confirm whether it is deformed / uneven.
2. If deformed / uneven, arrange to send the device in for repair.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Lift Motor,Lift Motor Angle Position Sensor Abnormal,"1. Restart the mower and check whether the lifting abnormality persists.
2. Check whether the cutter motor is stuck with foreign objects and clean it if necessary.","2748 Lift motor angle position sensor disconnected
617 Lift motor response timeout","1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Lift Motor,Lift Motor Overcurrent,"1. Check whether the cutter motor is clogged or stuck. Clean any weeds / foreign objects / branches under the cutter disk.
2. After cleaning, restart the device, adjust the cutter height in the app, and start a new mowing task to check whether the error still occurs.",619 Lift motor overcurrent,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Lift Motor,Lift Motor Abnormal,"1. Power off the device and clean any grass clippings or other objects tangled on the cutter disk and cutter motor shaft.
2. In manual mode, adjust the lifting height and check whether the cutter disk can be raised to the highest position or lowered to the lowest position. If not, the lift motor or the magnetic encoder board assembly needs to be replaced.
3. If it works, confirm whether error 1202 (cutter disk stuck) is still reported during operation.","613 Lift motor overload
618/619/2744/2743 Lift motor overcurrent
2742/2741 Lift motor stall
609 Lift motor reset error
617 Lift motor response timeout
2747 Unable to reach the specified height
2711 Lift motor abnormal
610 Lift motor Hall sensor abnormal
615/616 Lift motor voltage abnormal
632 Lift motor magnetic encoder error
2825 Lift motor controller communication timeout","1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Buzzer,Buzzer Frequently Triggered,"1. Remove the front bumper bar and check whether the error persists. If it persists, replace the bumper bar.","1217 Bumper bar triggered detected
1207 Bumper bar repeatedly triggered","1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Buzzer,Buzzer Sound Abnormal,1. Abnormal buzzer sound or the buzzer not working normally may be caused by a buzzer fault.,,"1. Check the Device Profile and Self-check modules to confirm that the robot's hardware connections are normal.
2. Based on the corresponding error codes, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Speaker,Speaker Not Working,"1. Confirm whether the speaker switch is turned on.
2. Check whether the firmware and the app have been updated to the latest versions.
3. If the above checks pass, the speaker may be faulty.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Vehicle Locked,Vehicle Remains Locked,"1. Check whether the Home + Start buttons, or the Grass + Start buttons, can be used to unlock the device.
2. Check whether the emergency stop button is depressed and persistently triggered. If so, it needs to be replaced.
3. Restart the device and check whether the issue is resolved.",1008 Vehicle persistently locked,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Cannot Power On,"Cannot Power On, Long Press Power Key No Response","1. Place the mower on the charging station and confirm whether it can power on. If it can, troubleshoot as a battery issue; if it cannot, the device needs to be sent in for repair.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Bumper Bar,Front Bumper Bar Continuous Noise,"1. Check whether the front bumper is properly installed.
2. Check whether the error persists after removing the front bumper. If so, the front bumper needs to be replaced.","1217 Bumper bar triggered detected
1207 Bumper bar repeatedly triggered","1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Bumper Bar,Front Bumper Bar Port Damaged,"1. Confirm whether the cable connecting the front bumper port on the mower is broken. If it is broken, the front bumper needs to be replaced.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Bumper Bar,Front Bumper Bar Connection Cable Broken,"1. Confirm whether the cable connecting the front bumper port on the mower is broken. If it is broken, the front bumper needs to be replaced.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Bumper Bar,Front Bumper Bar Frequently Falls Off,"1. Confirm whether the cable connecting the front bumper port on the mower is broken. If it is broken, the front bumper needs to be replaced.
2. When installing the new bumper bar, confirm that the installation steps are performed correctly.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Bumper Bar,Front Bumper Bar Indicator Light Off,1. Reinstall according to the installation guide.,,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Side Guards,Side Guards Installed but App Shows Not Installed,"1. Check whether the magnet on the side guard has fallen off. If so, replace it with a new one.
2. Test whether the magnet still has magnetic attraction. If not, replace it with a new one.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Rain Sensor,Rainy Day Mowing Disabled but Won't Auto-Recharge Either,"1. Check whether the ""Do not mow in rain"" option is enabled.
2. If it is correctly enabled, send a new mowing task. Manually drip water onto the rain sensor, or fill the rain sensor groove with water, to test whether the rain sensor can be triggered normally.
3. The rain sensor requires a certain amount of accumulated water to trigger. Continued use and observation are recommended.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","luba mini, luba mini LiDAR, luba mini2 1500 Lidar",Needs Repair,,
Hardware,Rain Sensor,Rain Sensor Triggered Continuously Even in Dry Weather,1. Clean the rain sensor and check whether the error persists.,1003 Rain sensor triggered,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Wiper,Wiper Motor Error / Wiper Stuck,"1. Restart the RTK and the app, and confirm that the firmware and the app are the latest versions.
2. Check whether the wiper is stuck with foreign objects, and check whether the issue is improved after clearing them.",903 Wiper motor error,,,Needs Repair,,
Hardware,Wiper,Wiper Rubber Damaged / Missing / Detached,1. Confirm whether the wiper blade rubber has fallen off / is damaged. Consider arranging a replacement order.,,,,Needs Repair,,
Hardware,Protective Bracket,Protective Bracket Detached / Not Locked,"1. Provide installation guidance, and consider whether re-clamping the protective bracket improves the situation.
2. If there is no improvement, consider sending the device back to a repair center.",,,,Needs Repair,,
Hardware,Vision Module,Working Paused Due to Power Off Prompt Shortly After Exit,"1. Confirm whether both positioning and battery level are normal, and whether the message ""woking paused due to power off"" is displayed.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","luba2, luba2x, luba mini, luba mini2 1000",Needs Repair,,
Hardware,Vision Module,3D Vision Error Prompt,"1. Check whether the firmware has been upgraded to the latest version.
2. Reconnect the vision module.",1425 3D vision error detected,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","luba2, luba2x, luba mini, luba mini2 1000",Needs Repair,,
Hardware,Vision Module,Vision Module White / Glitched / Fogged / Water-Ingress,1. The vision module needs to be replaced.,,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","luba2, luba2x, luba mini, luba mini2 1000",Needs Repair,,
Hardware,Vision Module,"Vision Module Not Ready, Self-Check Alert","1. Check whether the firmware and the app are the latest versions.
2. Check whether the current ambient light is poor. In poor light conditions, the vision self-check may report an error, but it generally does not affect operation. After confirming that the light is dim, you can enable the Auto Fill Light button.
3. Reinstall the vision module.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Vision Module,FPV Disconnected / White/Black Screen,"1. Confirm that the router has no IP restrictions, and confirm that the app and the firmware are the latest versions.
2. Test opening the FPV in standby or during operation. Test opening the FPV near / away from the router. Connect using only Wi-Fi / 4G and open the FPV. If any fault occurs, consider testing with another Wi-Fi network or a phone hotspot.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Auxiliary Light,Failed to Manually Turn On Auxiliary Light,"1. Check whether the firmware and the app are the latest versions.
2. Reinstall the vision module.",,,,Needs Repair,,
Hardware,Auxiliary Light,Auto Light Function Failed,"1. Manually enable the fill light test function and check whether it works normally.
2. Confirm whether ""Auto lighting"" is enabled, and confirm that the app and the firmware are the latest versions.",,,,Needs Repair,,
Hardware,Safety Key,Safety Key Installed but App Shows Not Installed,"1. Reconnect the safety key.
2. If the issue persists, replace the safety key with a new one.",,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Solar Panel,Solar Panel Cannot Power RTK Normally,"1. Determine whether the RTK indicator is normal under other power supply methods (charging station power, RTK adapter power, Type-C power). If none of them is normal, replace the RTK.
2. If it is normal, check whether the solar panel lights up properly, and check the color and status of the indicator (green flashing means battery is above 50%, which is the normal state; yellow flashing means 10-50%; red flashing means below 10%; blue flashing means the solar panel is charging; the indicator is off). If it is not normal, replace the solar panel. Also, use the solar panel when there is sufficient sunlight.",,,,Needs Repair,,
Hardware,Solar Panel,Solar Panel Light Effect,"1. After 5-15 seconds of direct sunlight (depending on light intensity), the device will automatically power on and stay on, with a flashing blue indicator. Short-press the power button to check the current battery indicator.
2. If there is no sunlight, long-press the power button to power on. After powering on, the indicator will be solid green or yellow for a few minutes, then slow-flash. After slow-flashing for a few minutes, the device will power off and the indicator will go off if the RTK is not powered or the device is not exposed to sunlight.
3. When the solar panel indicator is green, the approximate power supply duration for the base station can be confirmed (under normal conditions, it can support about one day of power supply).",,,,Needs FAE Upgrade,,
Hardware,Noise,Cutter Disc Start-Up Noise / Mowing Noise / Hub Motor Noise,"1. In manual mode, drive the mower forward (do not start the cutter, do not mow, just control the direction to move the mower) and check whether there is any abnormal noise.
2. Clean the grass tangled in the cutter disk, and in manual mode select ""Manual Mowing"" to check whether the noise still exists (i.e., cutter-on test).
3. Verify and ensure that the adapter bracket nut is tight. Remove the cutter disk and check whether the noise still exists.
4. If there is no noise after removing the cutter disk, check whether the cutter disk is worn and whether any screws are loose.
5. If the noise still exists after replacing the cutter disk / screws, and the noise comes from the wheel hub motor, listen carefully to identify which wheel. With the machine powered off, check the wheel's exterior for damage and manually rotate the wheel to see whether it rotates smoothly. If not, clear any grass tangled in the wheel hub and try again. If the noise persists, it is most likely a wheel hub motor noise.",,,,Needs Repair,,
Hardware,Drive Board Failure,Cannot Read Drive / Cannot Charge / Powers Off After Exit / Battery Status Update,"1. Restart the RTK and the app, and check whether the firmware and the app are the latest versions.
2. If you have access to the Data Center, check the wheel/cutter module. If the value is 0, arrange to send the device in for repair.",1015 Battery information update failed,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.",,Needs Repair,,
Hardware,Grass Catcher,Edge Not Mowed with Frame / Work Progress Anomalous Jump,"1. Restart the RTK and the app, and check whether the issue is improved after upgrading the app and the firmware to the latest versions.
2. Switch the obstacle-avoidance mode to off or sensitive, and test whether the boundary position is improved.",1210 Firmware version mismatch or grass tangled,"1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","yuka 2024, yuka 2025",Needs Repair,,
Hardware,Grass Catcher,Left Grass Roller Error,"1. Restart the RTK and the app, and check whether the issue is improved after upgrading the app and the firmware to the latest versions.
2. Clean the grass collection box / rollers / rolling brushes, and check whether the issue is improved.","503 Left grass-roller overload
499 Left grass-roller startup timeout","1. Check the Device Profile and Self-check modules to confirm whether the robot's hardware connections are normal.
2. Based on the corresponding error code, preliminarily determine the type and possible cause of the robot's fault.","yuka 2024, yuka 2025",Needs Repair,,
